event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub suggested,16:34:20,10.1109/tvcg.2013.91,GosperMap: Using a Gosper Curve for Laying Out Hierarchical Data,Auber et al.,24,25,
Pub suggested,16:34:20,10.1109/tvcg.2012.205,Capturing the Design Space of Sequential Space-Filling Layouts,Baudel and Broeksema,24,26,
Pub suggested,16:34:20,10.1109/mcg.2011.103,Treevis.net: a Tree Visualization Reference,Schulz,24,27,
Pub suggested,16:34:20,10.1109/tvcg.2010.110,Visualization of the Static Aspects of Software: a Survey,Caserta and Zendra,24,28,
Pub suggested,16:34:20,10.1109/tvcg.2009.128,Configuring Hierarchical Layouts to Address Research Questions,Slingsby et al.,24,29,
Pub suggested,16:34:20,10.1109/iv.2009.97,Treemaps and Choropleth Maps Applied to Regional Hierarchical Statistical Data,Jern et al.,24,30,
Pub suggested,16:34:20,10.1109/pacificvis.2008.4475475,Interactive Visual Analysis of the NSF Funding Information,Liu et al.,24,31,
Pub suggested,16:34:20,10.1109/tvcg.2007.70540,Browsing Zoomable Treemaps: Structure-Aware Multi-Scale Navigation Techniques,Blanch and Lecolinet,24,32,
Pub suggested,16:34:20,10.1145/1124772.1124851,Visualization of large hierarchical data by circle packing,Wang et al.,24,33,
Pub suggested,16:34:20,10.1007/978-3-540-27795-8_6,Extending Tree-Maps to Three Dimensions: a Comparative Study,Bladh et al.,24,34,
Pub suggested,16:34:20,10.1145/108844.108883,Cone Trees:  animated 3D visualizations of hierarchical information,Robertson et al.,24,35,
Pub suggested,16:34:20,10.28925/2311-259x.2022.3.8,Treemap as a type of data visualization in the media,Lichenko,24,36,
Pub suggested,16:34:20,10.1007/s12650-022-00874-3,Procedural texture patterns for encoding changes in color in 2.5D treemap visualizations,Limberger et al.,24,37,
Pub suggested,16:34:20,10.1007/s10844-021-00677-2,A spiral-like method to place in the space (and interact with) too many values,Tzitzikas et al.,24,38,
Pub suggested,16:34:20,10.1145/3430036.3430054,Survey on user studies on the effectiveness of treemaps,Fiedler et al.,24,39,
Pub suggested,16:34:20,10.1109/pacificvis48177.2020.7614,Uncertainty Treemaps,Sondag et al.,24,40,
Pub suggested,16:34:20,10.1145/3206505.3206591,Equal-height treemaps for multivariate data,Wittenburg and Lee,24,41,
Pub suggested,16:34:20,10.1145/3231622.3231638,Interactive_ Height-Based Filtering in 2.5D Treemaps,Limberger et al.,24,42,
Pub suggested,16:34:20,10.1007/978-3-319-57336-6_14,Effectiveness and Efficiency of Using Different Types of Rectangular Treemap as Diagrams in Cartography,Zhou et al.,24,43,
Pub suggested,16:34:20,10.1109/iv.2016.61,Evaluation of Sketchiness as a Visual Variable for 2.5D Treemaps,Limberger et al.,24,44,
Pub suggested,16:34:20,10.1016/j.jvlc.2015.09.004,Preset-based generation and exploration of visualization designs,Schulz and Hadlak,24,45,
Pub suggested,16:34:20,10.1109/smartcity.2015.181,SpaceViz: Visualization Tool for the Computer Storage Big-Data,Thomas et al.,24,46,
Pub suggested,16:34:20,10.1109/bigdata.2013.6691713,Visualization of streaming data: Observing change and context in information visualization techniques,Krstajic and Keim,24,47,
Pub suggested,16:34:20,10.1007/978-3-642-25591-5_28,Treemaps with Bounded Aspect Ratio,de Berg et al.,24,48,
Pub suggested,16:34:20,10.1109/vissof.2005.1684299,Visual Realism for the Visualization of Software Metrics,Holten et al.,24,49,
Pub suggested,16:34:20,10.1109/38.595272,TennisViewer: a browser for competition trees,Liqun Jin and Banks,24,50,
Network mode changed,16:36:35,,,,,,,Timeline
Keywords updated,16:36:56,,,,,,,TReemap_ space-filling_ hierarchy
Pub suggested,16:36:56,10.1109/infvis.2000.885091,Focus+context display and navigation techniques for enhancing radial_ space-filling hierarchy visualizations,Stasko and Zhang,24,1,
Pub suggested,16:36:56,10.1109/tvcg.2012.108,Enhanced Spatial Stability with Hilbert and Moore Treemaps,Tak and Cockburn,24,2,
Pub suggested,16:36:56,10.1109/infvis.2001.963283,Ordered treemap layouts,Shneiderman and Wattenberg,24,3,
Pub suggested,16:36:56,10.1109/tvcg.2014.2346276,Nmap: a Novel Neighborhood Preservation Space-filling Algorithm,Duarte et al.,24,4,
Pub suggested,16:36:56,10.1109/infvis.2005.1532128,Voronoi Treemaps,Balzer and Deussen,24,5,
Pub suggested,16:36:56,10.1111/cgf.13989,Quantitative Comparison of Time‐Dependent Treemaps,Vernier et al.,24,6,
Pub suggested,16:36:56,10.1145/3105971.3105976,Map-like visualisations vs. treemaps:  an experimental comparison,Biuk-Aghai et al.,24,7,
Pub suggested,16:36:56,10.1109/tvcg.2022.3209450,SizePairs: Achieving Stable and Balanced Temporal Treemaps using Hierarchical Size-based Pairing,Han et al.,24,8,
Pub suggested,16:36:56,10.1109/tvcg.2008.165,Spatially Ordered Treemaps,Wood and Dykes,24,9,
Pub suggested,16:36:56,10.1109/infvis.2005.1532145,A note on space-filling visualizations and space-filling curves,Wattenberg,24,10,
Pub suggested,16:36:56,10.1109/tvcg.2017.2743959,Bubble Treemaps for Uncertainty Visualization,Gortler et al.,24,11,
Pub suggested,16:36:56,10.1109/tvcg.2017.2745140,Stable Treemaps via Local Moves,Sondag et al.,24,12,
Pub suggested,16:36:56,10.1109/iv.2017.67,Mixed-Projection Treemaps: a Novel Approach Mixing 2D and 2.5D Treemaps,Limberger et al.,24,13,
Pub suggested,16:36:56,10.1109/isvd.2010.16,Fast Dynamic Voronoi Treemaps,Sud et al.,24,14,
Pub suggested,16:36:56,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,24,15,
Pub suggested,16:36:56,10.1109/vissoft.2018.00018,Quantitative Comparison of Dynamic Treemaps for Software Evolution Visualization,Faccin Vernier et al.,24,16,
Pub suggested,16:36:56,10.1109/tvcg.2012.205,Capturing the Design Space of Sequential Space-Filling Layouts,Baudel and Broeksema,24,17,
Pub suggested,16:36:56,10.1109/iv.2009.97,Treemaps and Choropleth Maps Applied to Regional Hierarchical Statistical Data,Jern et al.,24,18,
Pub suggested,16:36:56,10.1109/tvcg.2007.70540,Browsing Zoomable Treemaps: Structure-Aware Multi-Scale Navigation Techniques,Blanch and Lecolinet,24,19,
Pub suggested,16:36:56,10.28925/2311-259x.2022.3.8,Treemap as a type of data visualization in the media,Lichenko,24,20,
Pub suggested,16:36:56,10.1007/s12650-022-00874-3,Procedural texture patterns for encoding changes in color in 2.5D treemap visualizations,Limberger et al.,24,21,
Pub suggested,16:36:56,10.1145/3430036.3430054,Survey on user studies on the effectiveness of treemaps,Fiedler et al.,24,22,
Pub suggested,16:36:56,10.1109/pacificvis48177.2020.7614,Uncertainty Treemaps,Sondag et al.,24,23,
Pub suggested,16:36:56,10.1145/3206505.3206591,Equal-height treemaps for multivariate data,Wittenburg and Lee,24,24,
Pub suggested,16:36:56,10.1145/3231622.3231638,Interactive_ Height-Based Filtering in 2.5D Treemaps,Limberger et al.,24,25,
Pub suggested,16:36:56,10.1007/978-3-319-57336-6_14,Effectiveness and Efficiency of Using Different Types of Rectangular Treemap as Diagrams in Cartography,Zhou et al.,24,26,
Pub suggested,16:36:56,10.1109/iv.2016.61,Evaluation of Sketchiness as a Visual Variable for 2.5D Treemaps,Limberger et al.,24,27,
Pub suggested,16:36:56,10.1007/978-3-642-25591-5_28,Treemaps with Bounded Aspect Ratio,de Berg et al.,24,28,
Pub suggested,16:36:56,10.1016/j.jvlc.2015.10.002,A mobile interface for navigating hierarchical information space,Chhetri et al.,24,29,
Pub suggested,16:36:56,10.1145/632716.632834,Visualizing the stock market,Wattenberg,24,30,
Pub suggested,16:36:56,10.1051/matecconf/20165601007,2-D Layout for Tree Visualization: a survey,Wang et al.,24,31,
Pub suggested,16:36:56,10.1145/2801040.2801056,Enhanced Hexagon-Tiling Algorithm for Map-Like Information Visualisation,Yang and Biuk-Aghai,24,32,
Pub suggested,16:36:56,10.1145/1377676.1377683,Circular partitions with applications to visualization and embeddings,Onak and Sidiropoulos,24,33,
Pub suggested,16:36:56,10.1057/palgrave.ivs.9500087,EncCon: an Approach to Constructing Interactive Visualization of Large Hierarchical Data,Nguyen and Huang,24,34,
Pub suggested,16:36:56,10.1109/tvcg.2019.2934535,BarcodeTree: Scalable Comparison of Multiple Hierarchies,Li et al.,24,35,
Pub suggested,16:36:56,10.1186/s40537-015-0022-3,Cabinet Tree: an orthogonal enclosure approach to visualizing and exploring big data,Yang et al.,24,36,
Pub suggested,16:36:56,10.1109/tvcg.2013.91,GosperMap: Using a Gosper Curve for Laying Out Hierarchical Data,Auber et al.,24,37,
Pub suggested,16:36:56,10.1109/mcg.2011.103,Treevis.net: a Tree Visualization Reference,Schulz,24,38,
Pub suggested,16:36:56,10.1109/tvcg.2010.110,Visualization of the Static Aspects of Software: a Survey,Caserta and Zendra,24,39,
Pub suggested,16:36:56,10.1109/tvcg.2009.128,Configuring Hierarchical Layouts to Address Research Questions,Slingsby et al.,24,40,
Pub suggested,16:36:56,10.1109/pacificvis.2008.4475475,Interactive Visual Analysis of the NSF Funding Information,Liu et al.,24,41,
Pub suggested,16:36:56,10.1145/1124772.1124851,Visualization of large hierarchical data by circle packing,Wang et al.,24,42,
Pub suggested,16:36:56,10.1007/978-3-540-27795-8_6,Extending Tree-Maps to Three Dimensions: a Comparative Study,Bladh et al.,24,43,
Pub suggested,16:36:56,10.1145/108844.108883,Cone Trees:  animated 3D visualizations of hierarchical information,Robertson et al.,24,44,
Pub suggested,16:36:56,10.1007/s10844-021-00677-2,A spiral-like method to place in the space (and interact with) too many values,Tzitzikas et al.,24,45,
Pub suggested,16:36:56,10.1016/j.jvlc.2015.09.004,Preset-based generation and exploration of visualization designs,Schulz and Hadlak,24,46,
Pub suggested,16:36:56,10.1109/smartcity.2015.181,SpaceViz: Visualization Tool for the Computer Storage Big-Data,Thomas et al.,24,47,
Pub suggested,16:36:56,10.1109/bigdata.2013.6691713,Visualization of streaming data: Observing change and context in information visualization techniques,Krstajic and Keim,24,48,
Pub suggested,16:36:56,10.1109/vissof.2005.1684299,Visual Realism for the Visualization of Software Metrics,Holten et al.,24,49,
Pub suggested,16:36:56,10.1109/38.595272,TennisViewer: a browser for competition trees,Liqun Jin and Banks,24,50,
Pub activated,16:37:22,10.1109/tvcg.2010.79,The Design Space of Implicit Hierarchy Visualization: a Survey,Schulz et al.,24,0,selected
Pub deactivated,16:37:27,10.1109/tvcg.2010.79,The Design Space of Implicit Hierarchy Visualization: a Survey,Schulz et al.,24,0,
Pub activated,16:37:27,10.1109/tvcg.2010.79,The Design Space of Implicit Hierarchy Visualization: a Survey,Schulz et al.,24,0,selected
Pub deactivated,16:37:45,10.1109/tvcg.2010.79,The Design Space of Implicit Hierarchy Visualization: a Survey,Schulz et al.,24,0,
Pub activated,16:37:45,10.1145/3430036.3430041,Survey of treemap layout algorithms,Scheibel et al.,24,0,selected
Opened authors,16:37:50,,,,,,,
Pub deactivated,16:37:50,10.1145/3430036.3430041,Survey of treemap layout algorithms,Scheibel et al.,24,0,
Pub suggested,16:37:56,10.1109/infvis.2000.885091,Focus+context display and navigation techniques for enhancing radial_ space-filling hierarchy visualizations,Stasko and Zhang,24,1,
Pub suggested,16:37:56,10.1109/tvcg.2012.108,Enhanced Spatial Stability with Hilbert and Moore Treemaps,Tak and Cockburn,24,2,
Pub suggested,16:37:56,10.1109/infvis.2001.963283,Ordered treemap layouts,Shneiderman and Wattenberg,24,3,
Pub suggested,16:37:56,10.1109/tvcg.2014.2346276,Nmap: a Novel Neighborhood Preservation Space-filling Algorithm,Duarte et al.,24,4,
Pub suggested,16:37:56,10.1109/infvis.2005.1532128,Voronoi Treemaps,Balzer and Deussen,24,5,
Pub suggested,16:37:56,10.1111/cgf.13989,Quantitative Comparison of Time‐Dependent Treemaps,Vernier et al.,24,6,
Pub suggested,16:37:56,10.1145/3105971.3105976,Map-like visualisations vs. treemaps:  an experimental comparison,Biuk-Aghai et al.,24,7,
Pub suggested,16:37:56,10.1109/tvcg.2022.3209450,SizePairs: Achieving Stable and Balanced Temporal Treemaps using Hierarchical Size-based Pairing,Han et al.,24,8,
Pub suggested,16:37:56,10.1109/tvcg.2008.165,Spatially Ordered Treemaps,Wood and Dykes,24,9,
Pub suggested,16:37:56,10.1109/infvis.2005.1532145,A note on space-filling visualizations and space-filling curves,Wattenberg,24,10,
Pub suggested,16:37:56,10.1109/tvcg.2017.2743959,Bubble Treemaps for Uncertainty Visualization,Gortler et al.,24,11,
Pub suggested,16:37:56,10.1109/tvcg.2017.2745140,Stable Treemaps via Local Moves,Sondag et al.,24,12,
Pub suggested,16:37:56,10.1109/iv.2017.67,Mixed-Projection Treemaps: a Novel Approach Mixing 2D and 2.5D Treemaps,Limberger et al.,24,13,
Pub suggested,16:37:56,10.1109/isvd.2010.16,Fast Dynamic Voronoi Treemaps,Sud et al.,24,14,
Pub suggested,16:37:56,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,24,15,
Pub suggested,16:37:56,10.1109/vissoft.2018.00018,Quantitative Comparison of Dynamic Treemaps for Software Evolution Visualization,Faccin Vernier et al.,24,16,
Pub suggested,16:37:56,10.1109/tvcg.2012.205,Capturing the Design Space of Sequential Space-Filling Layouts,Baudel and Broeksema,24,17,
Pub suggested,16:37:56,10.1109/iv.2009.97,Treemaps and Choropleth Maps Applied to Regional Hierarchical Statistical Data,Jern et al.,24,18,
Pub suggested,16:37:56,10.1109/tvcg.2007.70540,Browsing Zoomable Treemaps: Structure-Aware Multi-Scale Navigation Techniques,Blanch and Lecolinet,24,19,
Pub suggested,16:37:56,10.28925/2311-259x.2022.3.8,Treemap as a type of data visualization in the media,Lichenko,24,20,
Pub suggested,16:37:56,10.1007/s12650-022-00874-3,Procedural texture patterns for encoding changes in color in 2.5D treemap visualizations,Limberger et al.,24,21,
Pub suggested,16:37:56,10.1145/3430036.3430054,Survey on user studies on the effectiveness of treemaps,Fiedler et al.,24,22,
Pub suggested,16:37:56,10.1109/pacificvis48177.2020.7614,Uncertainty Treemaps,Sondag et al.,24,23,
Pub suggested,16:37:56,10.1145/3206505.3206591,Equal-height treemaps for multivariate data,Wittenburg and Lee,24,24,
Pub suggested,16:37:56,10.1145/3231622.3231638,Interactive_ Height-Based Filtering in 2.5D Treemaps,Limberger et al.,24,25,
Pub suggested,16:37:56,10.1007/978-3-319-57336-6_14,Effectiveness and Efficiency of Using Different Types of Rectangular Treemap as Diagrams in Cartography,Zhou et al.,24,26,
Pub suggested,16:37:56,10.1109/iv.2016.61,Evaluation of Sketchiness as a Visual Variable for 2.5D Treemaps,Limberger et al.,24,27,
Pub suggested,16:37:56,10.1007/978-3-642-25591-5_28,Treemaps with Bounded Aspect Ratio,de Berg et al.,24,28,
Pub suggested,16:37:56,10.1016/j.jvlc.2015.10.002,A mobile interface for navigating hierarchical information space,Chhetri et al.,24,29,
Pub suggested,16:37:56,10.1145/632716.632834,Visualizing the stock market,Wattenberg,24,30,
Pub suggested,16:37:56,10.1051/matecconf/20165601007,2-D Layout for Tree Visualization: a survey,Wang et al.,24,31,
Pub suggested,16:37:56,10.1145/2801040.2801056,Enhanced Hexagon-Tiling Algorithm for Map-Like Information Visualisation,Yang and Biuk-Aghai,24,32,
Pub suggested,16:37:56,10.1145/1377676.1377683,Circular partitions with applications to visualization and embeddings,Onak and Sidiropoulos,24,33,
Pub suggested,16:37:56,10.1057/palgrave.ivs.9500087,EncCon: an Approach to Constructing Interactive Visualization of Large Hierarchical Data,Nguyen and Huang,24,34,
Pub suggested,16:37:56,10.1109/tvcg.2019.2934535,BarcodeTree: Scalable Comparison of Multiple Hierarchies,Li et al.,24,35,
Pub suggested,16:37:56,10.1186/s40537-015-0022-3,Cabinet Tree: an orthogonal enclosure approach to visualizing and exploring big data,Yang et al.,24,36,
Pub suggested,16:37:56,10.1109/tvcg.2013.91,GosperMap: Using a Gosper Curve for Laying Out Hierarchical Data,Auber et al.,24,37,
Pub suggested,16:37:56,10.1109/mcg.2011.103,Treevis.net: a Tree Visualization Reference,Schulz,24,38,
Pub suggested,16:37:56,10.1109/tvcg.2010.110,Visualization of the Static Aspects of Software: a Survey,Caserta and Zendra,24,39,
Pub suggested,16:37:56,10.1109/tvcg.2009.128,Configuring Hierarchical Layouts to Address Research Questions,Slingsby et al.,24,40,
Pub suggested,16:37:56,10.1109/pacificvis.2008.4475475,Interactive Visual Analysis of the NSF Funding Information,Liu et al.,24,41,
Pub suggested,16:37:56,10.1145/1124772.1124851,Visualization of large hierarchical data by circle packing,Wang et al.,24,42,
Pub suggested,16:37:56,10.1007/978-3-540-27795-8_6,Extending Tree-Maps to Three Dimensions: a Comparative Study,Bladh et al.,24,43,
Pub suggested,16:37:56,10.1145/108844.108883,Cone Trees:  animated 3D visualizations of hierarchical information,Robertson et al.,24,44,
Pub suggested,16:37:56,10.1007/s10844-021-00677-2,A spiral-like method to place in the space (and interact with) too many values,Tzitzikas et al.,24,45,
Pub suggested,16:37:56,10.1016/j.jvlc.2015.09.004,Preset-based generation and exploration of visualization designs,Schulz and Hadlak,24,46,
Pub suggested,16:37:56,10.1109/smartcity.2015.181,SpaceViz: Visualization Tool for the Computer Storage Big-Data,Thomas et al.,24,47,
Pub suggested,16:37:56,10.1109/bigdata.2013.6691713,Visualization of streaming data: Observing change and context in information visualization techniques,Krstajic and Keim,24,48,
Pub suggested,16:37:56,10.1109/vissof.2005.1684299,Visual Realism for the Visualization of Software Metrics,Holten et al.,24,49,
Pub suggested,16:37:56,10.1109/38.595272,TennisViewer: a browser for competition trees,Liqun Jin and Banks,24,50,
Refined authors,16:37:56,,,,,,,Boost new pubs off
Closed authors,16:38:55,,,,,,,
Pub activated,16:39:36,10.1109/infvis.2000.885091,Focus+context display and navigation techniques for enhancing radial_ space-filling hierarchy visualizations,Stasko and Zhang,24,1,suggested
Network: shown authors updated,16:39:52,,,,,,,0.7
Network: shown authors updated,16:39:52,,,,,,,0.9
Network: shown authors updated,16:39:52,,,,,,,1.6
Network: shown authors updated,16:39:52,,,,,,,1.7
Network: shown authors updated,16:39:54,,,,,,,1.8
Network: shown authors updated,16:39:54,,,,,,,1.9
Network: shown authors updated,16:39:54,,,,,,,2
Pub deactivated,16:39:56,10.1109/infvis.2000.885091,Focus+context display and navigation techniques for enhancing radial_ space-filling hierarchy visualizations,Stasko and Zhang,24,1,
Pub qd for selected,16:40:3,10.1109/infvis.2000.885091,Focus+context display and navigation techniques for enhancing radial_ space-filling hierarchy visualizations,Stasko and Zhang,24,1,suggested
Pub activated,16:40:3,10.1109/infvis.2000.885091,Focus+context display and navigation techniques for enhancing radial_ space-filling hierarchy visualizations,Stasko and Zhang,24,1,suggested
Pub activated,16:40:3,10.1109/infvis.2000.885091,Focus+context display and navigation techniques for enhancing radial_ space-filling hierarchy visualizations,Stasko and Zhang,24,1,suggested
Pub deactivated,16:40:5,10.1109/infvis.2000.885091,Focus+context display and navigation techniques for enhancing radial_ space-filling hierarchy visualizations,Stasko and Zhang,24,1,
Pub added,16:40:5,10.1109/infvis.2000.885091,,,,,
Pub suggested,16:40:6,10.1109/tvcg.2014.2346276,Nmap: a Novel Neighborhood Preservation Space-filling Algorithm,Duarte et al.,25,1,
Pub suggested,16:40:6,10.1109/tvcg.2012.108,Enhanced Spatial Stability with Hilbert and Moore Treemaps,Tak and Cockburn,25,2,
Pub suggested,16:40:6,10.1109/infvis.2001.963283,Ordered treemap layouts,Shneiderman and Wattenberg,25,3,
Pub suggested,16:40:6,10.1109/infvis.2005.1532128,Voronoi Treemaps,Balzer and Deussen,25,4,
Pub suggested,16:40:6,10.1111/cgf.13989,Quantitative Comparison of Time‐Dependent Treemaps,Vernier et al.,25,5,
Pub suggested,16:40:6,10.1145/3105971.3105976,Map-like visualisations vs. treemaps:  an experimental comparison,Biuk-Aghai et al.,25,6,
Pub suggested,16:40:6,10.1109/tvcg.2022.3209450,SizePairs: Achieving Stable and Balanced Temporal Treemaps using Hierarchical Size-based Pairing,Han et al.,25,7,
Pub suggested,16:40:6,10.1109/tvcg.2008.165,Spatially Ordered Treemaps,Wood and Dykes,25,8,
Pub suggested,16:40:6,10.1109/infvis.2005.1532145,A note on space-filling visualizations and space-filling curves,Wattenberg,25,9,
Pub suggested,16:40:6,10.1109/tvcg.2017.2745140,Stable Treemaps via Local Moves,Sondag et al.,25,10,
Pub suggested,16:40:6,10.1109/tvcg.2017.2743959,Bubble Treemaps for Uncertainty Visualization,Gortler et al.,25,11,
Pub suggested,16:40:6,10.1109/iv.2017.67,Mixed-Projection Treemaps: a Novel Approach Mixing 2D and 2.5D Treemaps,Limberger et al.,25,12,
Pub suggested,16:40:6,10.1109/isvd.2010.16,Fast Dynamic Voronoi Treemaps,Sud et al.,25,13,
Pub suggested,16:40:6,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,25,14,
Pub suggested,16:40:6,10.1109/vissoft.2018.00018,Quantitative Comparison of Dynamic Treemaps for Software Evolution Visualization,Faccin Vernier et al.,25,15,
Pub suggested,16:40:6,10.1109/tvcg.2012.205,Capturing the Design Space of Sequential Space-Filling Layouts,Baudel and Broeksema,25,16,
Pub suggested,16:40:6,10.1109/tvcg.2010.186,Perceptual Guidelines for Creating Rectangular Treemaps,Kong et al.,25,17,
Pub suggested,16:40:6,10.1109/iv.2009.97,Treemaps and Choropleth Maps Applied to Regional Hierarchical Statistical Data,Jern et al.,25,18,
Pub suggested,16:40:6,10.1109/tvcg.2007.70540,Browsing Zoomable Treemaps: Structure-Aware Multi-Scale Navigation Techniques,Blanch and Lecolinet,25,19,
Pub suggested,16:40:6,10.1007/s12650-022-00874-3,Procedural texture patterns for encoding changes in color in 2.5D treemap visualizations,Limberger et al.,25,20,
Pub suggested,16:40:6,10.28925/2311-259x.2022.3.8,Treemap as a type of data visualization in the media,Lichenko,25,21,
Pub suggested,16:40:6,10.1109/pacificvis48177.2020.7614,Uncertainty Treemaps,Sondag et al.,25,22,
Pub suggested,16:40:6,10.1145/3206505.3206591,Equal-height treemaps for multivariate data,Wittenburg and Lee,25,23,
Pub suggested,16:40:6,10.1145/3231622.3231638,Interactive_ Height-Based Filtering in 2.5D Treemaps,Limberger et al.,25,24,
Pub suggested,16:40:6,10.1007/978-3-319-57336-6_14,Effectiveness and Efficiency of Using Different Types of Rectangular Treemap as Diagrams in Cartography,Zhou et al.,25,25,
Pub suggested,16:40:6,10.1007/978-3-642-25591-5_28,Treemaps with Bounded Aspect Ratio,de Berg et al.,25,26,
Pub suggested,16:40:6,10.1145/632716.632834,Visualizing the stock market,Wattenberg,25,27,
Pub suggested,16:40:6,10.1016/j.jvlc.2015.10.002,A mobile interface for navigating hierarchical information space,Chhetri et al.,25,28,
Pub suggested,16:40:6,10.1057/palgrave.ivs.9500087,EncCon: an Approach to Constructing Interactive Visualization of Large Hierarchical Data,Nguyen and Huang,25,29,
Pub suggested,16:40:6,10.1109/tvcg.2019.2934535,BarcodeTree: Scalable Comparison of Multiple Hierarchies,Li et al.,25,30,
